doubanID,imdbID,doubanURL,imdbURL,movieTitle,year,directorName,directorID,category,releaseDate,duration,relatedMovieIDs,doubanTotalVotes,imdbTotalVotes,doubanScore,imdbScore,douban-1star,douban-2star,douban-3star,douban-4star,douban-5star,imdb-1star,imdb-2star,imdb-3star,imdb-4star,imdb-5star,imdb-6star,imdb-7star,imdb-8star,imdb-9star,imdb-10star
1291560,tt0096283,https://movie.douban.com/subject/1291560,http://www.imdb.com/title/tt0096283,龙猫 となりのトトロ,1988,宫崎骏,/celebrity/1054439/,"['动画', '奇幻', '冒险']","['2018-12-14(中国大陆)', '1988-04-16(日本)']",86分钟,"['1291583', '1291561', '1308807', '1297359', '1307811', '1291585', '1959877', '4202302', '1297052', '2131459']",663802,234617,9.150002561004635,8.241764237033122,664,1991,39164,195158,426825,2666,786,955,1748,4284,11787,35537,67459,54960,54435
1291583,tt0092067,https://movie.douban.com/subject/1291583,http://www.imdb.com/title/tt0092067,天空之城 天空の城ラピュタ,1986,宫崎骏,/celebrity/1054439/,"['动画', '奇幻', '冒险']","['1992(中国大陆)', '1986-08-02(日本)']",125分钟,"['1291585', '1297359', '1308807', '1307811', '1959877', '1291838', '1291561', '1304970', '1297052', '1418019']",462591,125701,9.069990553210072,8.053404507521817,463,1388,29606,149879,281255,1950,575,635,951,2327,6531,21934,40991,26845,22962
1291561,tt0245429,https://movie.douban.com/subject/1291561,http://www.imdb.com/title/tt0245429,千与千寻 千と千尋の神隠し,2001,宫崎骏,/celebrity/1054439/,"['剧情', '动画', '奇幻']",['2001-07-20(日本)'],125分钟,"['1291583', '1308807', '1297359', '1291560', '1291585', '1307811', '1959877', '1418019', '4202302', '1301753']",1001484,546943,9.301995838176147,8.530210643522269,1001,2003,42062,255378,701039,7964,2336,2619,3980,8057,18626,53593,119437,156872,173459
1308807,tt0347149,https://movie.douban.com/subject/1308807,http://www.imdb.com/title/tt0347149,哈尔的移动城堡 ハウルの動く城,2004,宫崎骏,/celebrity/1054439/,"['动画', '奇幻', '冒险']","['2004-09-05(威尼斯电影节)', '2004-11-20(日本)']",119分钟,"['1291583', '1297359', '1291585', '1307811', '1959877', '1291561', '1304970', '1297052', '1291838', '1291560']",509753,278253,8.97799522513845,8.278929607227957,510,2549,40270,170258,296166,2720,866,1196,1947,4628,13179,40671,80924,67714,64408
1297359,tt0119698,https://movie.douban.com/subject/1297359,http://www.imdb.com/title/tt0119698,幽灵公主 もののけ姫,1997,宫崎骏,/celebrity/1054439/,"['动画', '奇幻', '冒险']",['1997-07-12(日本)'],134分钟,"['1291585', '1291583', '1308807', '1307811', '1291838', '1959877', '1304970', '1297052', '1303907', '1418019']",309308,289004,8.842002146727532,8.37749650523868,309,1547,29384,114444,163624,4074,1172,1372,2095,4667,11698,35481,73109,77906,77430
1307811,tt0097814,https://movie.douban.com/subject/1307811,http://www.imdb.com/title/tt0097814,魔女宅急便 魔女の宅急便,1989,宫崎骏,/celebrity/1054439/,"['动画', '奇幻', '冒险']",['1989-07-29(日本)'],103分钟,"['1291585', '1291583', '1297359', '1308807', '1959877', '1304970', '1291838', '1297052', '1303907', '4202302']",254909,97551,8.540020164058546,7.957673422107412,255,1020,32119,116493,104768,560,281,360,684,1926,6838,21941,32784,16946,15231
1291585,tt0087544,https://movie.douban.com/subject/1291585,http://www.imdb.com/title/tt0087544,风之谷 風の谷のナウシカ,1984,宫崎骏,/celebrity/1054439/,"['动画', '奇幻', '冒险']","['1992-05(中国大陆)', '1984-03-11(日本)']",117分钟,"['1297359', '1291583', '1307811', '1308807', '1291838', '1959877', '1304970', '1297052', '1303907', '1418019']",228111,126289,8.825992608861474,8.103579884233781,228,1141,21899,84629,119986,1915,625,710,1123,2645,6669,20429,37799,28768,25606
1959877,tt0876563,https://movie.douban.com/subject/1959877,http://www.imdb.com/title/tt0876563,悬崖上的金鱼姬 崖の上のポニョ,2008,宫崎骏,/celebrity/1054439/,"['动画', '奇幻', '冒险']",['2008-07-19(日本)'],101分钟,"['1307811', '1291583', '1297359', '1308807', '1291585', '1304970', '1291838', '1297052', '1303907', '4202302']",230146,105699,8.371998644338811,7.738512190276162,460,2532,37514,102875,86765,736,445,663,1367,3339,9678,25822,33355,16427,13867
4202302,tt1568921,https://movie.douban.com/subject/4202302,http://www.imdb.com/title/tt1568921,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,2010,米林宏昌,/celebrity/1314163/,"['动画', '奇幻', '冒险']",['2010-07-17(日本)'],94分钟,"['1307811', '1308807', '1291583', '1297359', '1291585', '1959877', '1297052', '1291560', '1304970', '1291561']",281904,67228,8.728020886542938,7.715460819896472,282,1410,29318,115299,135596,411,212,345,660,1929,6238,17894,22077,9382,8080
1297052,tt0113824,https://movie.douban.com/subject/1297052,http://www.imdb.com/title/tt0113824,侧耳倾听 耳をすませば,1995,近藤喜文,/celebrity/1110585/,"['剧情', '爱情', '动画']",['1995-07-15(日本)'],111分钟,"['1307811', '1291585', '1291583', '1297359', '1308807', '1304970', '1959877', '1291838', '1291588', '4202302']",230614,39831,8.826046987606997,8.050488313122944,231,1153,22370,85097,121534,448,153,211,380,898,2644,7205,12082,7793,8017
2131459,tt0910970,https://movie.douban.com/subject/2131459,http://www.imdb.com/title/tt0910970,机器人总动员 WALL·E,2008,安德鲁·斯坦顿,/celebrity/1036450/,"['爱情', '科幻', '动画', '冒险']",['2008-06-27(美国)'],98分钟,"['1291583', '1308807', '2129039', '1291561', '1297359', '1291579', '1418019', '1291560', '1291585', '2353023']",719291,892225,9.312014191752713,8.328440696012779,719,1439,30930,174788,510697,10075,3639,4901,7361,15927,40237,115954,230867,242968,220296
1291838,tt0104652,https://movie.douban.com/subject/1291838,http://www.imdb.com/title/tt0104652,红猪 紅の豚,1992,宫崎骏,/celebrity/1054439/,"['喜剧', '动画', '冒险']",['1992-07-18(日本)'],94分钟,"['1291585', '1297359', '1307811', '1303907', '1291583', '1304970', '1959877', '1308807', '1291588', '1297052']",115203,60689,8.422072341866098,7.840696007513717,230,1037,18548,50344,45160,356,202,312,615,1598,4935,14136,19892,10430,8213
1304970,tt0347618,https://movie.douban.com/subject/1304970,http://www.imdb.com/title/tt0347618,猫的报恩 猫の恩返し,2002,森田宏幸,/celebrity/1010182/,"['喜剧', '动画', '奇幻', '冒险']",['2002-07-19(日本)'],75 分钟,"['1307811', '1303907', '1291838', '1297359', '1291585', '1959877', '1291583', '1308807', '1291588', '1297052']",135983,38811,8.001985542310436,7.396562830125481,272,2176,31956,64320,37259,333,214,258,581,1688,5323,12359,10097,4038,3920
