,alternate_ids,birth,country,imageURL,name,nicknames,pageURL,player,race,romanized_name,team,total_earnings,wcs_korea_points,wcs_korea_rank,retired,sponsor,wcs_circuit_points,wcs_circuit_rank,clan
0,MaruPrime,1997-07-28,South Korea,https://liquipedia.net/commons/images/4/43/Maru2018.png,조성주,"['MarinePrince', 'EXIDTerran', 'HamsterTerran', 'Maruder', 'GreenTerran', 'The4thRace']",https://liquipedia.net/starcraft2/Maru,Maru,Terran,Cho Seong-ju,Jin Air Green Wings,692700.0,0.0,,,,,,
1,"['By.Baby', 'Siz)Sun', 'BaBy', 'TYTY']",1994-09-18,South Korea,https://liquipedia.net/commons/images/thumb/8/80/TY_IEM_Shenzhen_2015.jpg/600px-TY_IEM_Shenzhen_2015.jpg,전태양,,https://liquipedia.net/starcraft2/TY,TY,Terran,Jun Tae-yang,Splyce,543280.0,0.0,,,,,,
2,"['Bbp3[nsp]', 'NsP_PrOtoss', 'Carno']",1992-05-15,South Korea,https://liquipedia.net/commons/images/thumb/f/f2/Stats_2017GSLS1CodeS.jpg/600px-Stats_2017GSLS1CodeS.jpg,김대엽,"['TheShieldofAiur', 'ElCapitan', 'AegisofKorea']",https://liquipedia.net/starcraft2/Stats,Stats,Protoss,Kim Dae-yeob,Splyce,437546.0,0.0,,,,,,
3,"['Wooki', 'Sea.Wuk', 'P7GAB[KaL]', 'P7GAB', 'Zest']",1992-07-11,South Korea,https://liquipedia.net/commons/images/thumb/4/48/Zest_iem_toronto14.jpg/600px-Zest_iem_toronto14.jpg,주성욱,The Kingslayer,https://liquipedia.net/starcraft2/Zest,Zest,Protoss,Joo Sung-wook,,418510.0,0.0,,,,,,
4,qkrfddn,1995-10-06,South Korea,https://liquipedia.net/commons/images/thumb/0/06/Dark_IEM_WC_2015.jpg/600px-Dark_IEM_WC_2015.jpg,박령우,"['TheLastSonofBoxer', 'TheFinalBoss']",https://liquipedia.net/starcraft2/Dark,Dark,Zerg,Park Ryung-woo,The Gosu Crew,455443.0,0.0,,,,,,
5,"['Ryul2', 'Ryul2[KaL]', '1z2z3z[KaL]', 'NsP_Saber', 'Saber[ArnC]', 'Savage', 'CliMax']",1994-01-13,South Korea,https://liquipedia.net/commons/images/thumb/a/a3/Rogue1.jpg/600px-Rogue1.jpg,이병렬,"['SexyBoy', 'LateGameMonster']",https://liquipedia.net/starcraft2/Rogue,Rogue,Zerg,Lee Byung-ryul,Jin Air Green Wings,623797.0,0.0,,,,,,
6,"['GuMihofOu', 'JiNi[Shield]', 'Ragnarok']",1992-08-04,South Korea,https://liquipedia.net/commons/images/e/e5/Gumiho_IEM_katowice2017.png,고병재,Towel Terran,https://liquipedia.net/starcraft2/GuMiho,GuMiho,Terran,Koh Byung-jae,PSISTORM Gaming,196551.0,0.0,,,,,,
7,"['Bogus', 'SaSin)KaL', 'SinHyung', 'zOazOa', 'LEESINHYUNG']",1993-07-25,South Korea,https://liquipedia.net/commons/images/f/f9/OG_INno.png,이신형,"['TheMachine', 'RoBogus']",https://liquipedia.net/starcraft2/INnoVation,INnoVation,Terran,Lee Shin-hyung,Team Reciprocity,514148.0,0.0,,,,,,
8,DreamMvP,1996-10-27,South Korea,https://liquipedia.net/commons/images/thumb/1/14/Dream_2016VSLTeamLeague.jpg/600px-Dream_2016VSLTeamLeague.jpg,조중혁,,https://liquipedia.net/starcraft2/Dream,Dream,Terran,Cho Joong-hyuk,,66597.0,,,,,,,
9,"['NEXLife', 'ZeNEXLife']",1997-01-11,South Korea,https://liquipedia.net/commons/images/thumb/2/27/Life_Champion_BlizzCon_2014.jpg/600px-Life_Champion_BlizzCon_2014.jpg,이승현,"['TheLingKing', 'KingofZerglings', ""L'EnfantTerrible"", 'KamiZerg']",https://liquipedia.net/starcraft2/Life,Life,Zerg,Lee Seung-hyun,,475744.0,,,,,,,
