,date,event,myScore,opponent,place,player,result,theirScore,winnings
0,2018-09-15,2018 Global StarCraft II League Season 3/Code S,4.0,TY,1st,Maru,1.0,3.0,37523.0
1,2018-08-04,2018 GSL vs the World,1.0,Stats,3 - 4th,Maru,0.0,3.0,7172.0
2,2018-06-22,2018 Global StarCraft II League Season 2: Code S,4.0,Zest,1st,Maru,1.0,0.0,37523.0
3,2018-03-31,2018 Global StarCraft II League Season 1/Code S,4.0,Stats,1st,Maru,1.0,2.0,37518.0
4,2018-03-18,World Electronic Sports Games 2017,4.0,Dark,1st,Maru,1.0,3.0,200000.0
5,2018-03-04,IEM Season XII - World Championship,2.0,Rogue,3 - 4th,Maru,0.0,3.0,25600.0
6,2017-06-14,2017 Global StarCraft II League Season 2/Code S,2.0,GuMiho,3 - 4th,Maru,0.0,4.0,6720.0
7,2017-01-15,World Electronic Sports Games 2016,3.0,TY,2nd,Maru,0.0,4.0,100000.0
8,2015-09-25,2015 Global StarCraft II League Season 3: Code S,1.0,INnoVation,3 - 4th,Maru,0.0,4.0,3610.0
9,2015-03-21,2015 StarCraft II StarLeague Season 1/Main Event,4.0,Dream,1st,Maru,1.0,1.0,36099.0
10,2015-02-01,IEM Season IX - Taipei,3.0,Life,2nd,Maru,0.0,4.0,4000.0
11,2014-06-18,2014 Global StarCraft II League Season 2/Code S,2.0,Classic,3 - 4th,Maru,0.0,4.0,7890.0
12,2013-12-06,2013 Hot6ix Cup,1.0,Soulkey,3 - 4th,Maru,0.0,3.0,3784.0
13,2013-11-09,2013 WCS Global Finals,1.0,Jaedong,3 - 4th,Maru,0.0,3.0,17500.0
14,2013-10-27,2013 WCS Season 3,1.0,Dear,3 - 4th,Maru,0.0,3.0,10000.0
15,2013-10-09,2013 WCS Season 3 Korea GSL/Premier,1.0,Dear,3 - 4th,Maru,0.0,3.0,7000.0
16,2013-08-10,2013 WCS Season 2 Korea OSL: Premier League,4.0,Rain,1st,Maru,1.0,2.0,20000.0
17,2018-09-15,2018 Global StarCraft II League Season 3/Code S,3.0,Maru,2nd,TY,0.0,4.0,14071.0
18,2018-06-13,2018 Global StarCraft II League Season 2: Code S,3.0,Zest,3 - 4th,TY,0.0,4.0,7035.0
19,2017-11-04,2017 WCS Global Finals,2.0,Rogue,3 - 4th,TY,0.0,3.0,42000.0
20,2017-08-06,2017 GSL vs the World,0.0,INnoVation,2nd,TY,0.0,4.0,13400.0
21,2017-07-30,IEM Season XII - Shanghai,2.0,herO,3 - 4th,TY,0.0,3.0,2000.0
22,2017-03-05,IEM Season XI - World Championship,4.0,Stats,1st,TY,1.0,3.0,100300.0
23,2017-01-15,World Electronic Sports Games 2016,4.0,Maru,1st,TY,1.0,3.0,200000.0
24,2016-10-03,2016 KeSPA Cup,2.0,Trap,3 - 4th,TY,0.0,3.0,4072.0
25,2016-05-22,2016 WCS Korea Season 1 Cross Finals,2.0,Dark,3 - 4th,TY,0.0,3.0,0.0
26,2016-05-01,2016 Global StarCraft II League Season 1/Code S,2.0,Zest,2nd,TY,0.0,4.0,16920.0
27,2015-09-03,2015 StarCraft II StarLeague Season 3/Main Event,3.0,ByuL,3 - 4th,TY,0.0,4.0,4061.0
28,2015-07-19,IEM Season X - Shenzhen,0.0,PartinG,3 - 4th,TY,0.0,3.0,2000.0
29,2018-11-03,2018 WCS Global Finals,2.0,Serral,2nd,Stats,0.0,4.0,112000.0
30,2018-08-05,2018 GSL vs the World,3.0,Serral,2nd,Stats,0.0,4.0,13447.0
31,2018-04-08,2018 AfreecaTV GSL Super Tournament 1,4.0,Dark,1st,Stats,1.0,3.0,11274.0
32,2018-03-31,2018 Global StarCraft II League Season 1/Code S,2.0,Maru,2nd,Stats,0.0,4.0,14069.0
33,2017-11-12,HomeStory Cup XVI,0.0,Zest,3 - 4th,Stats,0.0,3.0,2000.0
34,2017-09-24,2017 StarCraft II StarLeague Season 2 - Premier,4.0,Dark,1st,Stats,1.0,3.0,14071.0
35,2017-09-06,2017 Global StarCraft II League Season 3: Code S,1.0,sOs,3 - 4th,Stats,0.0,4.0,6685.0
36,2017-08-05,2017 GSL vs the World,0.0,INnoVation,3 - 4th,Stats,0.0,3.0,6700.0
37,2017-05-29,2017 StarCraft II StarLeague Season 1: Premier,2.0,Solar,4th,Stats,0.0,3.0,4248.0
38,2017-03-25,2017 Global StarCraft II League Season 1/Code S,4.0,soO,1st,Stats,1.0,2.0,35840.0
39,2017-03-05,IEM Season XI - World Championship,3.0,TY,2nd,Stats,0.0,4.0,45300.0
40,2016-12-18,IEM Season XI - Gyeonggi,0.0,INnoVation,2nd,Stats,0.0,4.0,6000.0
41,2016-11-20,HomeStory Cup XIV,1.0,Patience,3 - 4th,Stats,0.0,3.0,2000.0
42,2016-11-05,2016 WCS Global Playoffs and Finals,1.0,ByuN,3 - 4th,Stats,0.0,3.0,30000.0
43,2016-10-03,2016 KeSPA Cup,1.0,Neeb,3 - 4th,Stats,0.0,3.0,4072.0
44,2016-05-22,2016 WCS Korea Season 1 Cross Finals,3.0,Dark,1st,Stats,1.0,1.0,17160.0
45,2016-04-09,2016 StarCraft II StarLeague Season 1/Main Event,2.0,Dark,2nd,Stats,0.0,4.0,16920.0
46,2015-06-11,2015 StarCraft II StarLeague Season 2/Main Event,2.0,Classic,3 - 4th,Stats,0.0,4.0,4061.0
47,2015-03-05,2015 StarCraft II StarLeague Season 1/Main Event,2.0,Maru,3 - 4th,Stats,0.0,4.0,4061.0
48,2018-09-05,2018 Global StarCraft II League Season 3/Code S,1.0,Maru,3 - 4th,Zest,0.0,4.0,7035.0
49,2018-06-22,2018 Global StarCraft II League Season 2: Code S,0.0,Maru,2nd,Zest,0.0,4.0,14071.0
50,2017-11-12,HomeStory Cup XVI,4.0,Solar,1st,Zest,1.0,1.0,10000.0
51,2016-11-20,HomeStory Cup XIV,3.0,Patience,2nd,Zest,0.0,4.0,4000.0
52,2016-05-22,2016 WCS Korea Season 1 Cross Finals,1.0,Stats,3 - 4th,Zest,0.0,3.0,0.0
53,2016-05-01,2016 Global StarCraft II League Season 1/Code S,4.0,TY,1st,Zest,1.0,2.0,33840.0
54,2015-03-15,IEM Season IX - World Championship,4.0,Trap,1st,Zest,1.0,1.0,68707.0
55,2014-12-07,2014 Hot6ix Cup,2.0,MarineKing,3 - 4th,Zest,0.0,3.0,2728.0
56,2014-09-24,2014 Global StarCraft II League Season 3: Code S,3.0,soO,3 - 4th,Zest,0.0,4.0,7612.0
57,2014-09-14,2014 KeSPA Cup,4.0,herO,1st,Zest,1.0,1.0,29370.0
58,2014-08-31,IEM Season IX - Toronto,1.0,Flash,2nd,Zest,0.0,4.0,4000.0
59,2014-04-26,2014 GSL Global Championship,4.0,PartinG,1st,Zest,1.0,3.0,7400.0
60,2014-04-05,2014 Global StarCraft II League Season 1/Code S,4.0,soO,1st,Zest,1.0,3.0,66388.0
61,2018-09-30,2018 AfreecaTV GSL Super Tournament 2,2.0,Classic,3 - 4th,Dark,0.0,3.0,2221.0
62,2018-08-04,2018 GSL vs the World,1.0,Serral,3 - 4th,Dark,0.0,3.0,7172.0
63,2018-04-08,2018 AfreecaTV GSL Super Tournament 1,3.0,Stats,2nd,Dark,0.0,4.0,4698.0
64,2018-03-24,2018 Global StarCraft II League Season 1/Code S,2.0,Maru,3 - 4th,Dark,0.0,4.0,7034.0
65,2018-03-18,World Electronic Sports Games 2017,3.0,Maru,2nd,Dark,0.0,4.0,80000.0
66,2017-10-01,2017 AfreecaTV GSL Super Tournament 2,2.0,herO,3 - 4th,Dark,0.0,3.0,2250.0
67,2017-09-24,2017 StarCraft II StarLeague Season 2 - Premier,3.0,Stats,2nd,Dark,0.0,4.0,8673.0
